From,To,Length(m),Azimuth(deg),Clino(deg)
66@byaki_05.byaki,-,4.48,49.70,8.20
66@byaki_05.byaki,67@byaki_05.byaki,9.27,33.90,5.60
67@byaki_05.byaki,-,5.08,40.80,4.40
67@byaki_05.byaki,-,4.28,34.80,4.30
67@byaki_05.byaki,-,3.16,23.00,5.40
67@byaki_05.byaki,-,3.06,10.90,5.20
67@byaki_05.byaki,-,3.29,359.20,5.70
67@byaki_05.byaki,-,2.99,2.10,6.40
67@byaki_05.byaki,-,3.51,355.70,6.50
67@byaki_05.byaki,-,4.33,348.80,5.80
67@byaki_05.byaki,-,4.86,344.60,4.70
67@byaki_05.byaki,-,5.60,340.80,2.00
67@byaki_05.byaki,-,5.82,338.40,1.60
67@byaki_05.byaki,-,9.59,315.90,-0.80
67@byaki_05.byaki,-,7.82,312.50,-1.40
67@byaki_05.byaki,-,5.80,306.20,-1.90
67@byaki_05.byaki,-,5.49,300.10,-1.80
67@byaki_05.byaki,-,4.56,293.70,-0.80
67@byaki_05.byaki,-,4.14,283.50,1.10
67@byaki_05.byaki,-,4.13,276.70,1.60
67@byaki_05.byaki,-,4.49,267.70,1.40
67@byaki_05.byaki,-,4.59,218.60,7.90
67@byaki_05.byaki,-,4.07,223.30,7.90
67@byaki_05.byaki,-,3.69,230.10,9.00
67@byaki_05.byaki,-,3.55,237.10,9.70
67@byaki_05.byaki,-,3.87,242.80,10.00
67@byaki_05.byaki,-,3.34,247.70,9.30
67@byaki_05.byaki,-,3.40,253.90,7.10
67@byaki_05.byaki,-,3.48,257.90,7.00
67@byaki_05.byaki,-,3.51,262.50,6.80
67@byaki_05.byaki,-,3.75,267.80,6.00
67@byaki_05.byaki,-,4.10,273.10,5.30
67@byaki_05.byaki,-,3.82,278.30,5.10
67@byaki_05.byaki,352@byaki_05.byaki,2.94,3.00,4.40
352@byaki_05.byaki,68@byaki_05.byaki,5.78,292.60,-8.00
68@byaki_05.byaki,-,10.79,158.30,5.20
68@byaki_05.byaki,-,9.74,152.40,5.30
68@byaki_05.byaki,-,8.71,142.50,6.50
68@byaki_05.byaki,-,8.47,132.20,7.10
68@byaki_05.byaki,-,8.88,123.80,6.90
68@byaki_05.byaki,-,10.45,115.50,7.20
68@byaki_05.byaki,-,5.66,111.50,6.80
68@byaki_05.byaki,-,5.18,110.80,8.70
68@byaki_05.byaki,-,4.66,102.60,11.60
68@byaki_05.byaki,-,4.26,98.30,13.10
68@byaki_05.byaki,-,3.80,94.30,14.00
68@byaki_05.byaki,-,3.54,90.60,15.00
68@byaki_05.byaki,-,2.96,84.30,17.10
68@byaki_05.byaki,-,3.08,76.80,13.50
68@byaki_05.byaki,-,3.41,70.80,12.50
68@byaki_05.byaki,-,4.71,64.00,8.20
68@byaki_05.byaki,-,5.95,63.70,4.30
68@byaki_05.byaki,-,5.95,61.30,6.10
68@byaki_05.byaki,-,6.05,57.80,5.40
68@byaki_05.byaki,-,6.23,55.80,5.40
68@byaki_05.byaki,-,6.56,53.20,5.20
68@byaki_05.byaki,-,7.64,50.30,4.80
68@byaki_05.byaki,-,7.59,46.90,4.50
68@byaki_05.byaki,-,0.12,44.20,3.90
68@byaki_05.byaki,-,7.90,39.50,4.90
68@byaki_05.byaki,-,7.75,37.60,5.60
68@byaki_05.byaki,-,7.96,34.10,6.00
68@byaki_05.byaki,-,0.31,30.30,4.00
68@byaki_05.byaki,-,0.31,29.10,5.90
68@byaki_05.byaki,-,0.34,32.90,5.20
68@byaki_05.byaki,-,0.34,31.70,6.30
68@byaki_05.byaki,-,8.46,30.80,6.70
68@byaki_05.byaki,-,0.32,28.10,6.80
68@byaki_05.byaki,-,8.34,29.10,7.40
68@byaki_05.byaki,-,8.01,25.00,7.50
68@byaki_05.byaki,-,7.18,22.10,6.90
68@byaki_05.byaki,-,6.92,17.20,6.10
68@byaki_05.byaki,-,6.01,11.90,6.40
68@byaki_05.byaki,-,5.45,6.80,6.20
68@byaki_05.byaki,-,5.95,14.00,9.30
68@byaki_05.byaki,-,5.47,7.60,10.10
68@byaki_05.byaki,-,5.54,2.70,10.40
68@byaki_05.byaki,-,5.64,358.80,5.50
68@byaki_05.byaki,-,6.94,357.30,4.00
68@byaki_05.byaki,69@byaki_05.byaki,3.74,92.20,5.80
69@byaki_05.byaki,-,8.37,191.50,0.30
69@byaki_05.byaki,-,7.41,195.70,-0.30
69@byaki_05.byaki,-,8.44,191.20,1.00
69@byaki_05.byaki,-,6.55,196.00,1.70
69@byaki_05.byaki,-,6.20,200.90,1.40
69@byaki_05.byaki,-,6.22,205.10,1.80
69@byaki_05.byaki,-,5.68,212.60,2.90
69@byaki_05.byaki,-,4.85,217.60,4.20
69@byaki_05.byaki,-,4.97,225.00,5.10
69@byaki_05.byaki,-,4.98,229.90,3.60
69@byaki_05.byaki,-,5.40,237.20,3.70
69@byaki_05.byaki,-,5.90,240.20,4.70
69@byaki_05.byaki,-,5.47,244.40,5.00
69@byaki_05.byaki,-,5.07,250.60,5.60
69@byaki_05.byaki,-,5.41,256.80,5.00
69@byaki_05.byaki,-,5.62,262.90,4.70
69@byaki_05.byaki,-,5.57,268.60,4.40
69@byaki_05.byaki,-,5.43,274.40,4.50
69@byaki_05.byaki,-,5.95,279.10,4.70
69@byaki_05.byaki,-,5.90,284.00,4.20
69@byaki_05.byaki,-,6.50,287.80,4.10
69@byaki_05.byaki,-,6.62,294.00,3.90
69@byaki_05.byaki,-,6.95,299.20,3.80
69@byaki_05.byaki,-,7.80,301.10,3.60
69@byaki_05.byaki,-,7.03,300.10,3.10
69@byaki_05.byaki,-,7.29,304.10,2.00
69@byaki_05.byaki,-,7.07,306.90,1.90
69@byaki_05.byaki,-,7.08,311.90,0.90
69@byaki_05.byaki,-,7.40,315.60,-0.80
69@byaki_05.byaki,-,7.39,317.90,-2.40
69@byaki_05.byaki,-,7.29,329.40,-1.80
69@byaki_05.byaki,-,0.81,332.00,-1.80
68@byaki_05.byaki,70@byaki_05.byaki,4.80,30.00,2.80
70@byaki_05.byaki,-,3.38,73.90,0.80
70@byaki_05.byaki,-,3.18,75.30,8.60
70@byaki_05.byaki,-,3.10,77.20,19.60
70@byaki_05.byaki,-,2.61,80.20,32.60
70@byaki_05.byaki,-,1.97,96.40,55.10
70@byaki_05.byaki,-,1.66,136.30,65.40
70@byaki_05.byaki,-,1.75,173.90,62.70
70@byaki_05.byaki,-,1.77,208.40,50.70
70@byaki_05.byaki,-,2.29,223.70,40.40
70@byaki_05.byaki,-,2.92,226.40,34.70
70@byaki_05.byaki,-,3.46,227.50,27.80
70@byaki_05.byaki,-,3.75,230.80,23.20
70@byaki_05.byaki,-,4.26,230.20,19.30
70@byaki_05.byaki,-,4.74,230.40,15.70
70@byaki_05.byaki,-,5.66,230.50,10.40
70@byaki_05.byaki,-,4.96,230.70,5.50
70@byaki_05.byaki,-,4.38,231.10,-0.20
70@byaki_05.byaki,-,3.84,230.90,-1.90
352@byaki_06.byaki,-,5.60,112.20,8.80
352@byaki_06.byaki,-,5.15,123.30,6.10
352@byaki_06.byaki,-,4.24,129.80,7.60
352@byaki_06.byaki,-,3.96,138.10,8.20
352@byaki_06.byaki,-,4.08,145.00,10.40
352@byaki_06.byaki,-,3.63,153.70,8.60
352@byaki_06.byaki,-,3.78,167.20,4.40
352@byaki_06.byaki,-,5.32,177.40,2.40
352@byaki_06.byaki,-,5.96,183.80,0.90
352@byaki_06.byaki,71@byaki_06.byaki,3.73,97.00,-2.20
71@byaki_06.byaki,-,2.94,269.50,15.60
71@byaki_06.byaki,-,2.86,274.60,15.00
71@byaki_06.byaki,-,2.63,281.90,15.40
71@byaki_06.byaki,-,2.37,289.10,15.70
71@byaki_06.byaki,-,2.17,296.50,15.70
71@byaki_06.byaki,-,2.04,300.00,15.00
71@byaki_06.byaki,-,1.85,308.70,15.30
71@byaki_06.byaki,-,1.68,317.60,15.50
71@byaki_06.byaki,-,1.61,326.90,14.60
71@byaki_06.byaki,-,1.55,334.80,14.20
71@byaki_06.byaki,-,1.49,346.70,13.70
71@byaki_06.byaki,-,1.53,355.10,12.60
71@byaki_06.byaki,-,1.81,3.10,9.70
71@byaki_06.byaki,-,2.16,10.00,5.00
71@byaki_06.byaki,-,2.76,9.80,1.60
71@byaki_06.byaki,-,3.57,12.90,-0.40
71@byaki_06.byaki,-,3.84,15.10,-0.20
71@byaki_06.byaki,-,3.91,18.10,0.60
71@byaki_06.byaki,-,4.13,22.20,0.90
71@byaki_06.byaki,-,4.16,23.30,1.90
71@byaki_06.byaki,72@byaki_06.byaki,4.34,24.50,1.20
72@byaki_06.byaki,-,7.85,211.80,4.80
72@byaki_06.byaki,-,7.67,208.20,5.20
72@byaki_06.byaki,-,6.84,202.90,5.40
72@byaki_06.byaki,-,6.65,195.40,7.50
72@byaki_06.byaki,-,4.95,185.60,9.10
72@byaki_06.byaki,-,5.09,175.80,12.90
72@byaki_06.byaki,-,5.07,170.80,13.80
72@byaki_06.byaki,-,4.82,165.40,13.50
72@byaki_06.byaki,-,4.28,161.10,12.20
72@byaki_06.byaki,-,3.98,156.10,9.30
72@byaki_06.byaki,-,3.68,149.70,8.40
72@byaki_06.byaki,-,4.21,142.10,8.30
72@byaki_06.byaki,-,4.12,129.00,6.80
72@byaki_06.byaki,-,3.75,118.50,8.10
72@byaki_06.byaki,-,3.68,113.70,9.50
72@byaki_06.byaki,-,3.84,108.90,10.60
72@byaki_06.byaki,-,4.95,102.90,10.80
72@byaki_06.byaki,-,4.74,97.90,10.40
72@byaki_06.byaki,-,4.38,89.10,10.00
72@byaki_06.byaki,-,4.64,80.70,9.00
72@byaki_06.byaki,-,4.62,76.80,7.80
72@byaki_06.byaki,-,4.48,73.60,5.40
72@byaki_06.byaki,-,4.25,73.40,5.30
72@byaki_06.byaki,-,4.04,72.30,5.20
72@byaki_06.byaki,-,4.09,70.90,5.30
72@byaki_06.byaki,-,4.17,70.20,5.30
72@byaki_06.byaki,-,4.45,69.20,5.50
72@byaki_06.byaki,73@byaki_06.byaki,5.10,73.50,10.00
73@byaki_06.byaki,-,7.29,240.60,-6.60
73@byaki_06.byaki,-,7.20,241.90,-7.20
73@byaki_06.byaki,-,7.16,243.80,-7.70
73@byaki_06.byaki,-,7.11,245.60,-8.00
73@byaki_06.byaki,-,7.12,247.70,-8.50
73@byaki_06.byaki,-,7.09,249.20,-8.60
73@byaki_06.byaki,-,5.36,250.80,-8.20
73@byaki_06.byaki,-,4.99,252.40,-8.70
73@byaki_06.byaki,-,4.70,255.20,-8.80
73@byaki_06.byaki,-,4.54,258.00,-8.80
73@byaki_06.byaki,-,4.63,262.70,-8.40
73@byaki_06.byaki,-,5.61,265.40,-6.60
73@byaki_06.byaki,-,5.65,270.20,-5.40
73@byaki_06.byaki,-,5.40,277.30,-5.00
73@byaki_06.byaki,-,5.20,284.50,-5.00
73@byaki_06.byaki,-,5.64,289.30,-4.80
73@byaki_06.byaki,-,5.84,298.70,-3.70
73@byaki_06.byaki,-,5.58,303.00,-2.70
73@byaki_06.byaki,-,5.49,306.50,-2.90
73@byaki_06.byaki,-,5.39,311.50,-1.00
73@byaki_06.byaki,-,5.88,314.70,-1.30
73@byaki_06.byaki,-,9.69,316.80,-0.50
73@byaki_06.byaki,-,9.26,318.80,-1.10
73@byaki_06.byaki,-,11.81,323.10,-0.80
73@byaki_06.byaki,-,11.31,327.50,0.50
73@byaki_06.byaki,-,11.20,331.80,-0.00
73@byaki_06.byaki,-,11.25,333.80,-0.70
73@byaki_06.byaki,-,11.96,337.00,-0.70
73@byaki_06.byaki,74@byaki_06.byaki,1.69,13.60,0.90
74@byaki_06.byaki,-,1.93,196.20,2.00
74@byaki_06.byaki,-,1.77,193.70,1.70
74@byaki_06.byaki,-,1.66,192.30,1.90
74@byaki_06.byaki,-,1.75,210.20,-17.30
74@byaki_06.byaki,-,1.72,208.60,-15.20
74@byaki_06.byaki,-,1.69,205.10,-14.00
74@byaki_06.byaki,-,1.67,200.30,-13.70
74@byaki_06.byaki,-,1.67,196.20,-13.80
74@byaki_06.byaki,-,4.05,177.80,5.80
74@byaki_06.byaki,-,4.02,180.60,4.60
74@byaki_06.byaki,-,4.19,173.00,3.60
74@byaki_06.byaki,-,4.41,167.80,3.90
74@byaki_06.byaki,-,4.86,163.00,3.10
74@byaki_06.byaki,-,5.08,157.00,3.60
74@byaki_06.byaki,-,5.28,152.60,0.90
74@byaki_06.byaki,-,5.54,150.40,0.90
74@byaki_06.byaki,-,5.45,148.10,0.70
74@byaki_06.byaki,-,5.33,147.00,0.30
74@byaki_06.byaki,-,5.20,144.40,0.20
74@byaki_06.byaki,-,5.03,141.20,-0.10
74@byaki_06.byaki,-,5.09,139.50,0.20
74@byaki_06.byaki,75@byaki_06.byaki,2.20,129.90,6.50
75@byaki_06.byaki,-,3.01,198.50,-0.40
75@byaki_06.byaki,-,3.01,206.40,-0.40
75@byaki_06.byaki,-,3.10,211.50,-0.40
75@byaki_06.byaki,-,3.09,215.90,-0.50
75@byaki_06.byaki,-,3.11,220.60,0.40
75@byaki_06.byaki,-,2.83,224.80,-0.20
75@byaki_06.byaki,-,2.50,230.20,-2.10
75@byaki_06.byaki,-,2.43,236.70,-3.40
75@byaki_06.byaki,-,2.36,242.40,-3.70
75@byaki_06.byaki,-,2.27,251.40,-4.90
75@byaki_06.byaki,-,1.82,258.50,-5.10
75@byaki_06.byaki,-,1.88,263.80,-4.30
75@byaki_06.byaki,-,0.98,350.70,6.50
75@byaki_06.byaki,-,1.02,347.20,6.00
75@byaki_06.byaki,-,1.09,342.30,5.30
75@byaki_06.byaki,-,1.22,336.80,3.90
75@byaki_06.byaki,-,1.38,333.10,1.20
75@byaki_06.byaki,-,1.54,329.70,0.90
75@byaki_06.byaki,-,1.59,327.90,0.10
75@byaki_06.byaki,-,1.50,333.20,-2.30
75@byaki_06.byaki,76@byaki_06.byaki,2.37,192.60,-4.00
76@byaki_06.byaki,-,1.94,107.90,4.50
76@byaki_06.byaki,-,1.96,106.00,2.10
76@byaki_06.byaki,-,1.96,99.70,1.00
76@byaki_06.byaki,-,2.15,95.90,0.90
76@byaki_06.byaki,-,2.21,93.30,0.20
76@byaki_06.byaki,-,2.28,90.10,-0.50
76@byaki_06.byaki,-,2.40,85.50,0.50
76@byaki_06.byaki,-,2.66,80.80,-0.30
76@byaki_06.byaki,-,2.79,73.60,-1.30
76@byaki_06.byaki,-,2.70,70.40,-2.20
76@byaki_06.byaki,-,2.82,65.50,-2.70
76@byaki_06.byaki,-,2.85,58.10,-3.80
76@byaki_06.byaki,-,3.05,51.00,-1.40
76@byaki_06.byaki,-,2.89,45.20,-1.80
76@byaki_06.byaki,-,2.44,41.10,-0.40
76@byaki_06.byaki,-,1.75,32.90,2.50
76@byaki_06.byaki,-,1.89,35.90,1.90
76@byaki_06.byaki,-,1.74,28.90,0.60
76@byaki_06.byaki,-,1.77,24.30,0.70
76@byaki_06.byaki,-,1.87,21.20,0.20
76@byaki_06.byaki,-,1.99,18.90,0.70
76@byaki_06.byaki,-,2.36,14.00,2.50
76@byaki_06.byaki,-,2.71,11.50,1.80
76@byaki_06.byaki,-,3.00,9.20,1.50
73@byaki_06.byaki,77@byaki_06.byaki,5.29,292.30,-11.50
77@byaki_06.byaki,-,2.90,165.70,12.10
77@byaki_06.byaki,-,2.66,170.80,12.50
77@byaki_06.byaki,-,2.45,175.00,13.60
77@byaki_06.byaki,-,2.40,179.10,14.10
77@byaki_06.byaki,-,2.41,183.50,15.50
77@byaki_06.byaki,-,2.57,189.40,15.40
77@byaki_06.byaki,-,2.80,193.40,16.60
77@byaki_06.byaki,-,1.48,200.50,17.80
77@byaki_06.byaki,-,1.28,207.10,16.40
77@byaki_06.byaki,-,0.83,212.50,17.80
77@byaki_06.byaki,-,0.91,222.50,13.80
77@byaki_06.byaki,-,1.09,236.60,7.10
77@byaki_06.byaki,-,1.81,241.50,-0.90
77@byaki_06.byaki,-,1.86,245.70,-3.00
77@byaki_06.byaki,-,1.88,251.10,-3.60
77@byaki_06.byaki,-,1.99,256.50,-4.40
77@byaki_06.byaki,-,2.04,259.60,-4.60
77@byaki_06.byaki,-,2.11,263.50,-4.60
77@byaki_06.byaki,-,2.17,266.10,-5.10
77@byaki_06.byaki,-,3.13,270.00,-7.70
77@byaki_06.byaki,-,3.34,274.90,-6.30
77@byaki_06.byaki,-,3.44,282.40,-6.90
77@byaki_06.byaki,-,3.37,284.50,-6.30
77@byaki_06.byaki,-,3.31,287.40,-6.50
77@byaki_06.byaki,-,3.28,289.30,-6.00
77@byaki_06.byaki,-,3.28,290.80,-5.40
77@byaki_06.byaki,-,3.36,291.50,-5.00
77@byaki_06.byaki,-,3.47,292.80,-5.20
77@byaki_06.byaki,-,3.36,295.10,-4.60
77@byaki_06.byaki,-,3.23,296.90,-3.60
77@byaki_06.byaki,-,3.16,299.00,-2.90
77@byaki_06.byaki,-,3.07,301.00,-1.80
77@byaki_06.byaki,-,2.92,303.70,-0.70
77@byaki_06.byaki,-,2.09,307.10,-0.20
77@byaki_06.byaki,-,1.11,310.10,2.20
77@byaki_06.byaki,-,0.98,318.80,14.90
77@byaki_06.byaki,-,1.01,326.70,23.80
77@byaki_06.byaki,-,0.90,342.20,23.50
77@byaki_06.byaki,-,1.19,354.40,29.50
77@byaki_06.byaki,-,1.34,13.20,26.80
77@byaki_06.byaki,-,1.51,16.50,21.10
77@byaki_06.byaki,-,1.56,21.40,18.50
77@byaki_06.byaki,-,6.94,84.60,9.50
77@byaki_06.byaki,-,6.77,83.10,9.00
77@byaki_06.byaki,-,6.79,80.60,8.80
77@byaki_06.byaki,-,6.72,77.90,9.10
77@byaki_06.byaki,-,6.67,74.00,8.90
77@byaki_06.byaki,-,6.94,69.80,9.90
77@byaki_06.byaki,-,7.46,64.10,9.90
77@byaki_06.byaki,-,6.43,56.80,10.00
77@byaki_06.byaki,-,6.55,54.40,11.00
77@byaki_06.byaki,-,5.03,49.90,13.10
77@byaki_06.byaki,-,5.07,52.20,12.10
77@byaki_06.byaki,-,4.75,48.10,12.70
77@byaki_06.byaki,-,4.75,45.40,12.10
77@byaki_06.byaki,-,4.80,42.30,12.80
77@byaki_06.byaki,-,6.21,37.40,11.50
77@byaki_06.byaki,-,5.96,33.40,10.10
77@byaki_06.byaki,-,5.72,30.60,9.80
77@byaki_06.byaki,-,5.60,29.00,10.30
77@byaki_06.byaki,-,5.64,27.20,10.80
77@byaki_06.byaki,-,7.29,106.70,10.90
77@byaki_06.byaki,-,7.15,103.60,10.20
77@byaki_06.byaki,-,6.95,99.60,10.30
77@byaki_06.byaki,-,6.84,95.70,9.70
77@byaki_06.byaki,-,5.39,93.60,10.70
77@byaki_06.byaki,-,6.42,90.10,12.10
77@byaki_06.byaki,-,6.14,87.60,11.80
77@byaki_06.byaki,-,6.88,84.70,10.70
77@byaki_06.byaki,-,6.57,82.20,10.60
77@byaki_06.byaki,78@byaki_06.byaki,6.64,56.50,13.50
78@byaki_06.byaki,-,1.04,52.50,6.70
78@byaki_06.byaki,-,0.88,25.30,8.50
78@byaki_06.byaki,-,0.85,19.30,10.90
78@byaki_06.byaki,-,0.90,355.80,11.70
78@byaki_06.byaki,-,0.88,336.80,11.50
78@byaki_06.byaki,-,1.05,324.10,10.50
78@byaki_06.byaki,-,1.24,315.50,8.40
78@byaki_06.byaki,-,1.55,307.30,8.40
78@byaki_06.byaki,-,1.71,300.30,8.90
78@byaki_06.byaki,-,2.04,292.70,9.70
78@byaki_06.byaki,-,2.06,284.80,9.50
78@byaki_06.byaki,-,1.87,278.20,9.80
78@byaki_06.byaki,-,1.56,271.80,9.40
78@byaki_06.byaki,-,1.37,261.40,12.50
78@byaki_06.byaki,-,1.10,251.50,17.10
78@byaki_06.byaki,-,0.87,242.00,20.50
78@byaki_06.byaki,-,0.83,236.10,22.90
78@byaki_06.byaki,-,0.69,217.00,29.10
78@byaki_06.byaki,-,0.52,188.30,23.80
78@byaki_06.byaki,-,0.52,167.00,22.60
78@byaki_06.byaki,-,0.65,126.90,27.60
78@byaki_06.byaki,-,0.67,91.80,19.60
78@byaki_06.byaki,-,0.70,78.80,15.60
78@byaki_06.byaki,-,0.79,65.60,13.40
78@byaki_06.byaki,-,0.92,57.70,16.60
78@byaki_06.byaki,79@byaki_06.byaki,1.40,314.80,-31.40
79@byaki_06.byaki,-,0.27,59.90,-8.30
79@byaki_06.byaki,-,0.41,66.30,-10.00
79@byaki_06.byaki,-,0.55,71.50,-10.70
79@byaki_06.byaki,-,0.78,75.70,-12.50
79@byaki_06.byaki,-,0.97,81.10,-12.90
79@byaki_06.byaki,-,0.53,125.20,-13.20
79@byaki_06.byaki,-,1.64,126.60,-15.90
79@byaki_06.byaki,-,1.57,117.00,-19.50
79@byaki_06.byaki,-,0.47,106.70,-21.90
79@byaki_06.byaki,-,1.53,104.60,-13.80
79@byaki_06.byaki,-,1.58,95.00,-14.10
79@byaki_06.byaki,-,1.63,92.00,-11.90
79@byaki_06.byaki,-,2.62,103.50,-0.60
79@byaki_06.byaki,-,2.87,98.60,-1.30
79@byaki_06.byaki,-,3.45,96.20,-1.80
79@byaki_06.byaki,-,2.49,105.80,0.10
79@byaki_06.byaki,-,2.39,110.80,7.90
79@byaki_06.byaki,80@byaki_06.byaki,1.93,86.50,-10.30
80@byaki_06.byaki,-,1.19,117.10,-6.90
80@byaki_06.byaki,-,4.14,113.00,-5.80
80@byaki_06.byaki,-,4.18,108.20,-5.00
80@byaki_06.byaki,-,4.06,105.70,-5.80
80@byaki_06.byaki,-,3.51,101.90,-4.50
80@byaki_06.byaki,-,3.28,97.70,-4.20
80@byaki_06.byaki,-,3.12,94.20,-6.30
80@byaki_06.byaki,-,2.94,89.50,-7.40
80@byaki_06.byaki,-,2.73,85.20,-8.10
80@byaki_06.byaki,-,2.37,80.10,-8.20
80@byaki_06.byaki,-,2.33,76.50,-7.60
80@byaki_06.byaki,-,2.31,73.40,-10.50
80@byaki_06.byaki,-,2.56,68.00,-14.50
80@byaki_06.byaki,-,2.65,62.30,-16.40
80@byaki_06.byaki,-,2.57,56.60,-17.80
80@byaki_06.byaki,-,2.55,53.70,-18.50
80@byaki_06.byaki,-,2.39,48.90,-20.30
80@byaki_06.byaki,-,2.59,43.90,-21.00
80@byaki_06.byaki,-,2.41,37.00,-21.60
80@byaki_06.byaki,-,0.98,32.40,-21.70
80@byaki_06.byaki,-,2.00,134.50,-14.80
80@byaki_06.byaki,-,2.39,132.50,-13.50
80@byaki_06.byaki,-,2.57,128.70,-12.40
80@byaki_06.byaki,-,2.87,124.00,-12.90
77@byaki_06.byaki,81@byaki_06.byaki,5.60,28.10,10.20
81@byaki_06.byaki,-,10.26,353.20,-0.40
81@byaki_06.byaki,-,10.72,350.30,-1.00
81@byaki_06.byaki,-,10.86,348.30,-0.90
81@byaki_06.byaki,-,11.98,345.90,-0.30
81@byaki_06.byaki,-,6.37,341.20,-0.20
81@byaki_06.byaki,-,5.34,335.90,-0.60
81@byaki_06.byaki,-,4.97,327.50,-1.80
81@byaki_06.byaki,-,4.32,317.20,-2.00
81@byaki_06.byaki,-,4.15,306.70,-2.90
81@byaki_06.byaki,-,11.69,349.00,1.20
81@byaki_06.byaki,-,11.97,345.50,0.50
81@byaki_06.byaki,-,6.34,340.80,-0.10
81@byaki_06.byaki,-,5.18,334.60,-0.30
81@byaki_06.byaki,-,4.95,327.70,-0.80
81@byaki_06.byaki,-,4.38,318.80,-2.10
81@byaki_06.byaki,-,4.16,310.30,-1.10
81@byaki_06.byaki,-,4.21,301.80,-2.90
81@byaki_06.byaki,-,4.11,292.10,-3.50
81@byaki_06.byaki,-,5.89,294.70,-3.30
81@byaki_06.byaki,-,6.94,292.40,-3.20
81@byaki_06.byaki,-,7.00,290.70,-3.30
81@byaki_06.byaki,-,6.67,288.70,-3.40
81@byaki_06.byaki,-,6.28,287.40,-4.00
81@byaki_06.byaki,-,5.95,286.00,-4.30
81@byaki_06.byaki,-,5.62,284.00,-4.60
81@byaki_06.byaki,-,5.50,281.90,-4.30
81@byaki_06.byaki,-,4.67,270.30,-3.40
81@byaki_06.byaki,-,4.79,268.80,-3.80
81@byaki_06.byaki,-,4.83,266.70,-3.50
81@byaki_06.byaki,-,4.66,264.10,-2.30
81@byaki_06.byaki,-,4.55,261.50,-1.50
81@byaki_06.byaki,-,4.95,259.60,-0.90
81@byaki_06.byaki,-,4.58,257.90,-1.70
81@byaki_06.byaki,-,3.22,254.50,-3.80
81@byaki_06.byaki,-,3.15,252.70,-2.50
81@byaki_06.byaki,-,3.20,248.90,-2.50
81@byaki_06.byaki,-,3.28,246.60,-4.30
81@byaki_06.byaki,-,3.81,240.40,-4.40
81@byaki_06.byaki,-,3.36,235.10,-5.70
81@byaki_06.byaki,-,3.44,230.70,-6.20
81@byaki_06.byaki,-,3.52,225.90,-5.40
81@byaki_06.byaki,-,3.37,221.20,-5.60
81@byaki_06.byaki,-,3.28,217.60,-4.80
81@byaki_06.byaki,-,3.25,214.80,-3.90
81@byaki_06.byaki,-,3.58,212.00,-3.40
81@byaki_06.byaki,-,3.59,207.90,-3.20
81@byaki_06.byaki,-,3.88,206.30,-3.60
81@byaki_06.byaki,83@byaki_06.byaki,3.58,276.60,-7.40
83@byaki_06.byaki,-,1.90,289.60,2.10
83@byaki_06.byaki,-,1.81,294.70,1.40
83@byaki_06.byaki,-,2.33,296.80,0.80
83@byaki_06.byaki,-,2.62,298.90,0.90
83@byaki_06.byaki,-,3.21,300.80,0.50
83@byaki_06.byaki,-,3.39,302.50,0.60
83@byaki_06.byaki,-,3.57,305.40,0.70
83@byaki_06.byaki,-,3.50,308.10,2.00
83@byaki_06.byaki,-,3.56,310.50,2.00
83@byaki_06.byaki,-,3.89,314.40,1.90
83@byaki_06.byaki,-,3.85,317.50,2.80
83@byaki_06.byaki,-,3.74,322.80,4.60
83@byaki_06.byaki,-,3.84,325.90,5.50
83@byaki_06.byaki,-,3.90,328.20,5.10
83@byaki_06.byaki,-,3.05,331.70,5.10
83@byaki_06.byaki,-,2.30,334.40,5.90
83@byaki_06.byaki,-,2.10,338.70,8.80
83@byaki_06.byaki,-,2.17,343.90,9.90
83@byaki_06.byaki,-,1.71,348.10,9.00
83@byaki_06.byaki,-,2.03,354.10,8.60
83@byaki_06.byaki,-,1.86,0.40,9.10
83@byaki_06.byaki,-,2.14,4.70,8.40
83@byaki_06.byaki,-,4.82,115.40,5.20
83@byaki_06.byaki,-,4.61,112.30,5.30
83@byaki_06.byaki,-,4.61,109.70,5.70
83@byaki_06.byaki,-,4.97,107.00,6.00
83@byaki_06.byaki,-,5.22,104.10,7.10
83@byaki_06.byaki,-,4.99,97.80,7.70
83@byaki_06.byaki,-,3.87,96.00,7.60
83@byaki_06.byaki,-,3.60,93.70,7.90
83@byaki_06.byaki,-,3.63,90.00,8.30
83@byaki_06.byaki,-,1.36,86.10,5.80
83@byaki_06.byaki,-,3.93,84.20,4.90
83@byaki_06.byaki,-,4.43,78.30,4.00
83@byaki_06.byaki,-,6.07,74.70,2.70
83@byaki_06.byaki,-,6.57,71.70,3.10
83@byaki_06.byaki,-,8.08,58.50,0.20
83@byaki_06.byaki,-,7.46,56.30,1.00
83@byaki_06.byaki,-,7.44,54.40,1.10
83@byaki_06.byaki,-,7.42,52.60,2.10
83@byaki_06.byaki,-,7.20,50.30,2.90
83@byaki_06.byaki,-,7.20,47.70,3.50
83@byaki_06.byaki,-,7.56,44.80,3.50
83@byaki_06.byaki,-,8.21,42.90,3.30
83@byaki_06.byaki,-,8.30,40.70,3.00
83@byaki_06.byaki,-,8.68,38.00,2.30
83@byaki_06.byaki,-,8.33,38.60,2.90
83@byaki_06.byaki,-,10.38,30.90,1.30
